"strain","date"
"hMpxV/Singapore/CDC-01/2019",2019.34794520548
"hMpxV/Singapore/NPHL-0001/2022",2022.46849315068
"hMpxV/Singapore/NPHL-0005/2022",2022.52876712329
"hMpxV/Singapore/NPHL-0008/2022",2022.55890410959
"hMpxV/Singapore/NPHL-0011/2022",2022.58356164384
"hMpxV/Thailand/NIC-251/2022",2022.56712328767
"hMpxV/Thailand/MU-V241/2023",2023.66575342466
"hMpxV/Thailand/KCMH-465/2023",2023.98904109589
"hMpxV/Thailand/KCMH-462/2023",2023.97260273973
"hMpxV/Thailand/KCMH-459/2023",2023.94520547945
"hMpxV/Thailand/KCMH-455/2023",2023.91506849315
"hMpxV/Thailand/KCMH-296/2023",2023.50136986301
"hMpxV/Thailand/KCMH-295/2023",2023.50136986301
"hMpxV/Thailand/KCMH-294/2023",2023.50136986301
"hMpxV/Thailand/KCMH-283/2023",2023.48767123288
"hMpxV/Thailand/KCMH-026/2023",2023.35890410959
"hMpxV/Thailand/CU-ID220131-LRV/2022",2022.62465753425
"hMpxV/Thailand/CU-ID220121-SSV/2022",2022.61643835616
"hMpxV/Thailand/CU-ID220121-PSV/2022",2022.61643835616
"hMpxV/Thailand/CU-ID220103-FLV/2022",2022.58630136986
"hMpxV/Thailand/CU-ID220101-TSV/2022",2022.58356164384
"hMpxV/Thailand/CU-ID220101-LRV/2022",2022.58356164384
"hMpxV/Thailand/CU-ID220097-LRV/2022",2022.58630136986
"hMpxV/Thailand/CU-ID220059-TSV/2022",2022.56712328767
"hMpxV/Thailand/CU-ID220059-FTL/2022",2022.56712328767
"hMpxV/Thailand/CU-220016-FTV/2022",2022.5397260274
"hMpxV/Philippines/RITM-002/2022",2022.62191780822
"hMpxV/Philippines/RITM-007/2023",2023.92602739726
"hMpxV/Philippines/RITM-010/2024",2024.60109289617
"hMpxV/Philippines/RITM-011/2024",2024.6393442623
"hMpxV/Philippines/RITM-028/2024",2024.69672131148
"hMpxV/Indonesia/JK-NIHRD-MP0024/2022",2022.60821917808
"hMpxV/Indonesia/JK-NIHRD-MP005/2023",2023.72054794521
"hMpxV/Indonesia/JK-NIHRD-MP008/2023",2023.75342465753
"hMpxV/Indonesia/JK-NIHRD-MP017/2023",2023.75616438356
"hMpxV/Indonesia/JK-NIHRD-MP156/2023",2023.76712328767
"hMpxV/Indonesia/JK-NIHRD-MP015/2023",2023.76712328767
"hMpxV/Indonesia/JK-NIHRD-MP044/2023",2023.77534246575
"hMpxV/Indonesia/JK-NIHRD-MP147/2023",2023.77534246575
"hMpxV/Indonesia/JB-NIHRD-MP041/2023",2023.78356164384
"hMpxV/Indonesia/JK-NIHRD-MP012/2023",2023.78630136986
"hMpxV/Indonesia/JK-NIHRD-MP010/2023",2023.78904109589
"hMpxV/Indonesia/JK-NIHRD-MP036/2023",2023.78904109589
"hMpxV/Indonesia/BT-NIHRD-MP059/2023",2023.78904109589
"hMpxV/Indonesia/JK-NIHRD-MP061/2023",2023.79452054795
"hMpxV/Indonesia/JK-NIHRD-MP035/2023",2023.79726027397
"hMpxV/Indonesia/JK-NIHRD-MP022/2023",2023.79726027397
"hMpxV/Indonesia/JK-NIHRD-MP081/2023",2023.8
"hMpxV/Indonesia/JK-NIHRD-MP039/2023",2023.8
"hMpxV/Indonesia/JK-NIHRD-MP080/2023",2023.8
"hMpxV/Indonesia/JK-NIHRD-MP025/2023",2023.80547945205
"hMpxV/Indonesia/JK-NIHRD-MP114/2023",2023.80821917808
"hMpxV/Indonesia/JK-NIHRD-MP055/2023",2023.80821917808
"hMpxV/Indonesia/JB-NIHRD-MP205/2023",2023.81369863014
"hMpxV/Indonesia/JK-NIHRD-MP088/2023",2023.82191780822
"hMpxV/Indonesia/JK-NIHRD-MP109/2023",2023.82191780822
"hMpxV/Indonesia/JK-NIHRD-MP209/2023",2023.82465753425
"hMpxV/Indonesia/JK-NIHRD-MP085/2023",2023.82465753425
"hMpxV/Indonesia/JK-NIHRD-MP159/2023",2023.8301369863
"hMpxV/Indonesia/JK-NIHRD-MP118/2023",2023.8301369863
"hMpxV/Indonesia/JK-NIHRD-MP177/2023",2023.83835616438
"hMpxV/Indonesia/JK-NIHRD-MP235/2023",2023.84657534247
"hMpxV/Indonesia/JK-NIHRD-MP225/2023",2023.85753424658
"hMpxV/Indonesia/JK-NIHRD-MP218/2023",2023.85753424658
"hMpxV/Indonesia/JB-NIHRD-MP255/2023",2023.86301369863
"hMpxV/Indonesia/JK-NIHRD-MP252/2023",2023.86575342466
"hMpxV/Indonesia/BT-NIHRD-MP231/2023",2023.86575342466
"hMpxV/Indonesia/JB-NIHRD-MP254/2023",2023.86575342466
"hMpxV/Indonesia/JK-Biokes-MP239/2023",2023.87123287671
"hMpxV/Indonesia/JK-NIHRD-MP246/2023",2023.87945205479
"hMpxV/Indonesia/JK-NIHRD-MP276/2023",2023.89315068493
"hMpxV/Indonesia/JK-NIHRD-MP279/2023",2023.89589041096
"hMpxV/Indonesia/JB-Biokes-MP294/2023",2023.91232876712
"hMpxV/Indonesia/JK-Biokes-MP311/2023",2023.91780821918
"hMpxV/Indonesia/JK-Biokes-MP310/2023",2023.92054794521
"hMpxV/Indonesia/BT-Biokes-MP303/2023",2023.92054794521
"hMpxV/Indonesia/JB-Biokes-MP295/2023",2023.92602739726
"hMpxV/Indonesia/JK-Biokes-MP302/2023",2023.94246575342
"hMpxV/Indonesia/JK-Biokes-MP011/2024",2024.03278688525
"hMpxV/Indonesia/JK-Biokes-MP010/2024",2024.04371584699
"hMpxV/Indonesia/JK-Biokes-MP018/2024",2024.05737704918
"hMpxV/Indonesia/JK-Biokes-MP029/2024",2024.06830601093
"hMpxV/Indonesia/JK-Biokes-MP020/2024",2024.08743169399
"hMpxV/Indonesia/JK-Biokes-MP016/2024",2024.09016393443
"hMpxV/Indonesia/JK-NIHRD-MP023/2023",2023.80821917808
